station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,51.98,Satisfactory,FULL,PM10,51.98,48.33,51.98,6.25,16.25,1.0,0.25,17.0
"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,36.67,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,36.67,36.67,,12.5,28.75,1.65,1.25,22.0
"Jigani, Bengaluru - KSPCB",Bengaluru,Karnataka,23.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,23.0,,,,,1.75,,23.0
"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,193.4,Moderate,FULL,PM2.5,193.4,193.4,108.92,65.7,28.75,3.9,1.25,14.0
"Chandkheda, Ahmedabad - IITM",Ahmedabad,Gujarat,243.9,Poor,FULL,PM2.5,243.9,243.9,102.32,10.0,17.5,1.5,1.25,4.0
"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,Gujarat,183.5,Moderate,FULL,PM2.5,183.5,183.5,111.56,3.75,35.0,1.1,1.0,14.0
"Sector-18, Panipat - HSPCB",Panipat,Haryana,358.12,Very Poor,FULL,PM2.5,358.12,358.12,108.92,62.02,8.75,1.35,2.5,42.0
"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,40.0,Good,FULL,PM2.5,40.0,40.0,37.0,18.75,2.5,1.35,0.25,18.0
"Bir, Beed - MPCB",Beed,Maharashtra,24.0,Good,PARTIAL_HIGH_CONFIDENCE,OZONE,24.0,,,8.75,18.75,1.15,0.75,24.0
"Chauhan Colony, Chandrapur - MPCB",Chandrapur,Maharashtra,124.1,Moderate,FULL,PM2.5,124.1,124.1,85.3,16.25,21.25,1.5,0.5,12.0
"MIDC Khutala, Chandrapur - MPCB",Chandrapur,Maharashtra,105.62,Moderate,PARTIAL_HIGH_CONFIDENCE,PM10,105.62,64.07,105.62,5.0,,2.0,,15.0
"Kalu Nagar, Dombivli - MPCB",Dombivli,Maharashtra,33.0,Good,SINGLE_POLLUTANT_ONLY,OZONE,33.0,,,,,,,33.0
"Tamaka Ind. Area, Kolar - KSPCB",Kolar,Karnataka,29.0,Good,SINGLE_POLLUTANT_ONLY,OZONE,29.0,,,,,,,29.0
"Stuart Hill, Madikeri - KSPCB",Madikeri,Karnataka,19.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,19.0,,,,,3.15,,19.0
"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,Maharashtra,34.0,Good,PARTIAL_HIGH_CONFIDENCE,PM10,34.0,21.67,34.0,,28.75,1.45,0.25,23.0
"Sinchan Bhavan, Kolhapur - MPCB",Kolhapur,Maharashtra,46.67,Good,FULL,PM2.5,46.67,46.67,30.0,1.25,8.75,0.5,0.25,26.0
"Sion, Mumbai - MPCB",Mumbai,Maharashtra,6.25,Good,PARTIAL_LOW_CONFIDENCE,SO2,6.25,,,6.25,,1.0,,
"Shivneri Colony, Amravati - MPCB",Amravati,Maharashtra,46.67,Good,FULL,PM2.5,46.67,46.67,41.0,3.75,11.25,0.75,0.5,15.0
"MIDC Chilkalthana, Aurangabad - MPCB",Aurangabad,Maharashtra,3.75,Good,PARTIAL_HIGH_CONFIDENCE,SO2,3.75,,,3.75,1.25,1.35,1.5,3.0
"Rachnakar Colony, Aurangabad - MPCB",Aurangabad,Maharashtra,107.6,Moderate,FULL,PM2.5,107.6,107.6,57.86,2.5,17.5,1.45,0.25,10.0
"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,19.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,19.0,,,,,1.1,,19.0
"Shivaji Nagar, Mumbai - BMC",Mumbai,Maharashtra,75.5,Satisfactory,FULL,PM2.5,75.5,75.5,44.0,8.75,28.75,0.45,1.5,13.0
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,18.75,Good,PARTIAL_HIGH_CONFIDENCE,SO2,18.75,,12.0,18.75,1.25,0.15,0.0,1.0
"PWD Junction, Kohima - NPCB",Kohima,Nagaland,4.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,4.0,,,,,0.15,,4.0
"Meher Colony, Baripada - OSPCB",Baripada,Odisha,40.0,Good,PARTIAL_HIGH_CONFIDENCE,OZONE,40.0,13.33,,8.75,12.5,0.45,0.5,40.0
"Bhoiwada, Dungarpur - RSPCB",Dungarpur,Rajasthan,140.6,Moderate,FULL,PM2.5,140.6,140.6,76.48,7.5,15.0,1.1,1.75,28.0
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,173.6,Moderate,FULL,PM2.5,173.6,173.6,102.98,26.25,38.75,2.05,2.0,42.0
"Tondare-Taloja, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,82.03,Satisfactory,FULL,PM2.5,82.03,82.03,41.0,2.5,13.75,1.75,1.0,20.0
"Bhosari, Pune - IITM",Pimpri-Chinchwad,Maharashtra,98.37,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,98.37,98.37,63.74,,47.5,1.75,,18.0
"Bhumkar Nagar, Pune - IITM",Pimpri-Chinchwad,Maharashtra,73.87,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,73.87,73.87,57.86,,22.5,1.75,,43.0
"Park Street Wakad, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,60.8,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,60.8,60.8,55.9,,32.5,0.95,,19.0
"Vithalwadi, Ulhasnagar - MPCB",Ulhasnagar,Maharashtra,43.33,Good,FULL,PM2.5,43.33,43.33,43.0,10.0,11.25,0.65,1.25,7.0
"Barsua Iron Ore Mines, Tensa - OSPCB",Tensa,Odisha,33.75,Good,PARTIAL_HIGH_CONFIDENCE,SO2,33.75,16.67,27.0,33.75,,1.25,,5.0
"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,Punjab,345.93,Very Poor,FULL,PM2.5,345.93,345.93,118.82,15.0,30.0,2.15,1.25,35.0
"CDA Area, Cuttack - OSPCB",Cuttack,Odisha,57.86,Satisfactory,PARTIAL_HIGH_CONFIDENCE,OZONE,57.86,,16.0,21.25,18.75,1.0,1.25,57.86
"Sector-2, Rourkela - OSPCB",Rourkela,Odisha,46.67,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,46.67,46.67,23.0,,17.5,0.5,,
"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,30.0,Good,PARTIAL_HIGH_CONFIDENCE,SO2,30.0,,10.0,30.0,12.5,1.15,1.0,16.0
"Mhada Colony, Pune - IITM",Pune,Maharashtra,107.6,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,107.6,107.6,82.36,,41.25,2.85,,17.0
"Vijay Nagar, Sangli - MPCB",Sangli,Maharashtra,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,31.0,7.5,12.5,0.85,0.75,13.0
"Mahal, Nagpur - MPCB",Nagpur,Maharashtra,160.4,Moderate,FULL,PM2.5,160.4,160.4,49.0,11.25,20.0,1.1,1.0,15.0
"MIDC Ambad, Nashik - MPCB",Nashik,Maharashtra,80.4,Satisfactory,FULL,PM2.5,80.4,80.4,73.54,1.25,15.0,0.8,0.75,19.0
"Rajanpur, Gajraula - UPPCB",Gajraula,Uttar Pradesh,342.12,Very Poor,FULL,PM2.5,342.12,342.12,138.62,12.5,59.58,5.0,0.25,14.0
"Govindpuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,276.9,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,276.9,276.9,97.06,18.75,38.75,1.6,,26.0
"Rajlaxmi Nagar, Jhalawar - RSPCB",Jhalawar,Rajasthan,143.9,Moderate,FULL,PM2.5,143.9,143.9,84.32,13.75,42.5,0.7,2.0,20.0
"Samrat Ashok Udhyan, Jodhpur - RSPCB",Jodhpur,Rajasthan,114.2,Moderate,PARTIAL_HIGH_CONFIDENCE,PM10,114.2,98.37,114.2,3.75,36.25,0.8,,56.88
"Mandor, Jodhpur - RSPCB",Jodhpur,Rajasthan,106.28,Moderate,FULL,PM10,106.28,67.33,106.28,8.75,31.25,0.8,1.75,50.0
"Sector-3B Avas Vikas Colony, Agra - UPPCB",Agra,Uttar Pradesh,186.8,Moderate,FULL,PM2.5,186.8,186.8,108.26,32.5,43.75,2.75,1.0,19.0
"SRM University, Modinagar - UPPCB",Modinagar,Uttar Pradesh,307.85,Very Poor,FULL,PM2.5,307.85,307.85,85.3,11.25,41.25,1.45,1.0,114.1
"Kashiram Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,220.8,Poor,FULL,PM2.5,220.8,220.8,108.26,26.25,31.25,2.0,1.0,17.0
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Hyderabad,Telangana,57.53,Satisfactory,FULL,PM2.5,57.53,57.53,56.88,16.25,17.5,1.7,1.25,24.0
"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,70.6,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,70.6,70.6,57.86,15.0,23.75,2.4,0.5,
"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,356.59,Very Poor,FULL,PM2.5,356.59,356.59,151.16,31.25,55.9,2.55,2.0,30.0
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Gorakhpur,Uttar Pradesh,193.4,Moderate,FULL,PM2.5,193.4,193.4,71.58,63.25,13.75,0.3,0.25,1.0
"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,65.7,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,65.7,65.7,35.0,15.0,58.35,2.6,,15.0
"Kendriya Vidyalaya, Lucknow - CPCB",Lucknow,Uttar Pradesh,193.4,Moderate,FULL,PM2.5,193.4,193.4,83.34,8.75,40.0,2.05,4.25,50.0
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,91.83,Satisfactory,FULL,PM2.5,91.83,91.83,73.54,15.0,32.5,2.05,4.0,76.48
"Nayapura, Kota - RSPCB",Kota,Rajasthan,153.8,Moderate,FULL,PM2.5,153.8,153.8,99.02,3.75,41.25,0.9,1.5,47.0
"Dhanmandi, Kota - RSPCB",Kota,Rajasthan,120.8,Moderate,FULL,PM2.5,120.8,120.8,100.0,7.5,48.75,1.2,0.75,27.0
"Sector-116, Noida - UPPCB",Noida,Uttar Pradesh,356.59,Very Poor,FULL,PM2.5,356.59,356.59,146.54,21.25,77.95,3.2,3.25,32.0
"Mahabir Colliery, Asansol - WBPCB",Asansol,West Bengal,28.33,Good,FULL,PM2.5,28.33,28.33,24.0,12.5,5.0,0.95,0.5,10.0
"Trivenidevi Bhalotia College, Asansol - WBPCB",Asansol,West Bengal,41.67,Good,FULL,PM2.5,41.67,41.67,35.0,15.0,21.25,2.0,1.0,10.0
"Mahishkapur Road_B-Zone, Durgapur - WBPCB",Durgapur,West Bengal,107.6,Moderate,FULL,PM2.5,107.6,107.6,63.74,1.25,5.0,5.4,0.0,21.0
"Ghusuri, Howrah - WBPCB",Howrah,West Bengal,36.67,Good,FULL,PM2.5,36.67,36.67,29.0,11.25,32.5,0.9,2.75,21.0
"Belur Math, Howrah - WBPCB",Howrah,West Bengal,40.0,Good,FULL,NO2,40.0,23.33,21.0,10.0,40.0,0.6,2.5,9.0
"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,35.0,Good,FULL,PM2.5,35.0,35.0,26.0,11.25,22.5,1.3,1.25,34.0
"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,46.67,Good,FULL,PM2.5,46.67,46.67,26.0,7.5,37.5,1.75,3.0,11.0
"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,35.0,Good,FULL,PM2.5,35.0,35.0,24.0,7.5,35.0,0.6,1.75,34.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,204.3,Poor,FULL,PM2.5,204.3,204.3,92.16,15.0,36.25,0.75,1.25,16.0
"IIPHG Lekawada, Gandhinagar - IITM",Gandhinagar,Gujarat,250.5,Poor,FULL,PM2.5,250.5,250.5,78.44,2.5,21.25,0.6,1.5,2.0
"NISE Gwal Pahari, Gurugram - IITM",Gurugram,Haryana,326.13,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,326.13,326.13,132.68,,32.5,3.0,,16.0
"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,Haryana,283.5,Poor,FULL,PM2.5,283.5,283.5,79.42,10.0,18.75,0.7,1.5,25.0
"Chandni Chowk, Delhi - IITM",Delhi,Delhi,387.82,Very Poor,FULL,PM2.5,387.82,387.82,128.72,18.75,65.7,3.9,1.0,26.0
"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,83.67,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,83.67,83.67,71.58,23.75,16.25,0.8,,17.0
"Ramdaspeth, Akola - MPCB",Akola,Maharashtra,64.07,Satisfactory,FULL,PM2.5,64.07,64.07,46.0,5.0,11.25,0.6,1.75,14.0
"Indira Colony Vistar, Pali - RSPCB",Pali,Rajasthan,227.4,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,227.4,227.4,,12.5,25.0,1.7,1.75,20.0
"MM Ground, Bikaner - RSPCB",Bikaner,Rajasthan,137.96,Moderate,FULL,PM10,137.96,130.7,137.96,7.5,63.25,2.7,2.0,55.9
"Pali Dungra, Mathura - UPPCB",Mathura,Uttar Pradesh,353.55,Very Poor,FULL,PM2.5,353.55,353.55,141.92,16.25,8.75,2.25,0.5,13.0
"Eco Herbal Park, Moradabad - UPPCB",Moradabad,Uttar Pradesh,214.2,Poor,FULL,PM2.5,214.2,214.2,104.96,15.0,30.0,1.0,3.25,33.0
"Transport Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,313.18,Very Poor,FULL,PM2.5,313.18,313.18,128.06,26.25,30.0,1.85,1.25,4.0
"Krishna Nagar, Bharatpur - RSPCB",Bharatpur,Rajasthan,167.0,Moderate,FULL,PM2.5,167.0,167.0,112.88,10.0,21.25,2.25,2.0,58.84
"Fertilizer Township, Rourkela - OSPCB",Rourkela,Odisha,60.8,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,60.8,60.8,45.0,13.75,13.75,0.7,,
