station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Dhankawadi, Pune - IITM",Pune,Maharashtra,67.33,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,67.33,67.33,59.82,,17.5,,,10.0
"Koyana Nagar, Satara - MPCB",Satara,Maharashtra,70.6,Satisfactory,FULL,PM2.5,70.6,70.6,68.64,6.25,8.75,1.0,0.25,38.0
"Ratandeep Housing Society, Solapur - MPCB",Solapur,Maharashtra,91.83,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,91.83,91.83,57.86,,32.5,0.9,1.25,26.0
"Dnyaneshwar Nagar, Solapur - MPCB",Solapur,Maharashtra,54.27,Satisfactory,FULL,PM2.5,54.27,54.27,32.0,5.0,12.5,0.75,2.25,15.0
"Kasarvadavali, Thane - MPCB",Thane,Maharashtra,77.46,Satisfactory,FULL,PM10,77.46,62.43,77.46,7.5,25.0,2.8,0.0,11.0
"Upvan Fort, Thane - MPCB",Thane,Maharashtra,57.53,Satisfactory,FULL,PM2.5,57.53,57.53,47.0,2.5,12.5,0.9,0.5,14.0
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Ulhasnagar,Maharashtra,160.4,Moderate,FULL,PM2.5,160.4,160.4,83.34,8.75,12.5,0.3,0.5,9.0
"Bolinj, Virar - MPCB",Virar,Maharashtra,50.0,Good,FULL,PM2.5,50.0,50.0,45.0,2.5,16.25,1.9,2.0,20.0
"Digari Kalan, Jodhpur - RSPCB",Jodhpur,Rajasthan,137.3,Moderate,FULL,PM2.5,137.3,137.3,114.2,8.75,55.9,1.2,5.5,61.78
"Satyawati Vihar, Karauli - RSPCB",Karauli,Rajasthan,42.0,Good,PARTIAL_HIGH_CONFIDENCE,OZONE,42.0,30.0,31.0,,31.25,0.8,3.0,42.0
"New Anaj Mandi, Khairthal - RSPCB",Khairthal,Rajasthan,82.36,Satisfactory,PARTIAL_LOW_CONFIDENCE,OZONE,82.36,,,,,6.35,,82.36
