country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","23-09-2026 12:00:00",28.623763,77.287209,NO2,13,129,41
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","23-09-2026 12:00:00",28.623763,77.287209,SO2,8,34,12
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","23-09-2026 12:00:00",28.623763,77.287209,CO,19,63,45
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","23-09-2026 12:00:00",28.58028,77.233829,NH3,7,8,8
India,Delhi,Delhi,"Mundka, Delhi - DPCC","23-09-2026 12:00:00",28.684678,77.076574,PM10,105,190,153
India,Delhi,Delhi,"Mundka, Delhi - DPCC","23-09-2026 12:00:00",28.684678,77.076574,NH3,6,8,7
India,Delhi,Delhi,"Mundka, Delhi - DPCC","23-09-2026 12:00:00",28.684678,77.076574,OZONE,2,11,5
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","23-09-2026 12:00:00",28.594004,76.909423,NO2,2,22,8
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","23-09-2026 12:00:00",28.594004,76.909423,CO,45,52,50
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.695381,77.181665,PM2.5,78,220,116
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.695381,77.181665,CO,104,107,105
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.647622,77.315809,CO,84,102,94
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","23-09-2026 12:00:00",28.674045,77.131023,PM10,117,282,152
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","23-09-2026 12:00:00",28.5710274,77.0719006,SO2,6,12,9
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","23-09-2026 12:00:00",28.498571,77.26484,PM10,108,186,148
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-09-2026 12:00:00",28.822836,77.101981,PM2.5,77,309,143
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-09-2026 12:00:00",28.822836,77.101981,NO2,14,58,26
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-09-2026 12:00:00",28.822836,77.101981,SO2,8,21,12
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-09-2026 12:00:00",28.822836,77.101981,CO,22,59,40
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-09-2026 12:00:00",28.822836,77.101981,OZONE,3,43,22
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","23-09-2026 12:00:00",28.594169,77.1251,SO2,2,5,3
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","23-09-2026 12:00:00",28.611281,77.237738,NO2,26,102,57
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","23-09-2026 12:00:00",28.611281,77.237738,NH3,4,7,5
India,Delhi,Delhi,"Bawana, Delhi - DPCC","23-09-2026 12:00:00",28.7762,77.051074,OZONE,10,20,16
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","23-09-2026 12:00:00",28.530785,77.271255,NO2,17,59,42
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","23-09-2026 12:00:00",28.530785,77.271255,SO2,7,14,11
India,Delhi,Delhi,"Rohini, Delhi - DPCC","23-09-2026 12:00:00",28.732528,77.11992,PM2.5,80,303,169
India,Delhi,Delhi,"Rohini, Delhi - DPCC","23-09-2026 12:00:00",28.732528,77.11992,CO,42,81,56
India,Delhi,Delhi,"Rohini, Delhi - DPCC","23-09-2026 12:00:00",28.732528,77.11992,OZONE,12,33,17
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.672342,77.31526,SO2,7,66,12
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.672342,77.31526,CO,68,84,75
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","23-09-2026 12:00:00",28.672342,77.31526,OZONE,6,39,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","23-09-2026 12:00:00",28.6811736,77.3025234,SO2,8,21,14
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","23-09-2026 12:00:00",28.6811736,77.3025234,OZONE,7,20,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB","23-09-2026 12:00:00",25.376776,86.471523,OZONE,14,306,110
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-09-2026 12:00:00",26.1403345,85.3650192,PM2.5,18,43,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-09-2026 12:00:00",26.1403345,85.3650192,SO2,12,27,16
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-09-2026 12:00:00",26.11442,85.39813,NH3,8,13,11
India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-09-2026 12:00:00",25.596727,85.085624,PM2.5,44,187,78
India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-09-2026 12:00:00",25.619651,85.147382,NO2,3,4,3
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-09-2026 12:00:00",25.592539,85.227158,SO2,11,14,13
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-09-2026 12:00:00",25.592539,85.227158,OZONE,22,74,45
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","23-09-2026 12:00:00",25.610369,85.132568,PM2.5,2,144,50
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","23-09-2026 12:00:00",25.610369,85.132568,NH3,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-09-2026 12:00:00",25.599486,85.113666,PM10,26,50,36
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","23-09-2026 12:00:00",25.366336,87.117468,CO,30,57,51
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","23-09-2026 12:00:00",25.0328,85.41948,PM10,17,31,19
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","23-09-2026 12:00:00",25.0328,85.41948,SO2,3,3,3
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","23-09-2026 12:00:00",22.368195,82.746431,NO2,7,25,12
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","23-09-2026 12:00:00",22.12665,83.483212,PM2.5,3,15,9
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","23-09-2026 12:00:00",22.12665,83.483212,SO2,3,22,10
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","23-09-2026 12:00:00",22.12665,83.483212,CO,15,17,16
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","23-09-2026 12:00:00",22.1910172,83.5197009,PM10,5,37,20
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","23-09-2026 12:00:00",21.237755,81.705301,CO,28,28,28
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","23-09-2026 12:00:00",21.219665,81.630094,PM2.5,12,19,15
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","23-09-2026 12:00:00",21.219665,81.630094,PM10,14,67,40
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","23-09-2026 12:00:00",21.219665,81.630094,CO,28,42,35
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","23-09-2026 12:00:00",21.219665,81.630094,OZONE,1,1,1
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","23-09-2026 12:00:00",21.258815,81.578979,NO2,4,16,9
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","23-09-2026 12:00:00",21.371751,81.664929,PM2.5,14,82,37
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","23-09-2026 12:00:00",21.371751,81.664929,NO2,11,27,19
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","23-09-2026 12:00:00",22.06631475,83.33820077,PM10,7,23,15
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","23-09-2026 12:00:00",22.06631475,83.33820077,SO2,5,5,5
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","23-09-2026 12:00:00",15.83411,78.028546,PM10,24,52,36
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","23-09-2026 12:00:00",15.83411,78.028546,CO,5,13,9
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","23-09-2026 12:00:00",16.186555,81.13219,PM2.5,57,70,62
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","23-09-2026 12:00:00",16.186555,81.13219,NO2,26,37,32
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","23-09-2026 12:00:00",16.186555,81.13219,SO2,2,19,11
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","23-09-2026 12:00:00",14.438164,79.966814,NH3,5,8,6
